frameid,trackerid,x_center,y_center,width,height
1,0,236.0,177.5,54.0,55.0
1,1,348.0,441.0,80.0,98.0
1,2,365.0,418.5,18.0,21.0
1,3,358.5,313.0,23.0,26.0
1,4,311.5,197.5,21.0,19.0
1,5,256.0,131.0,24.0,30.0
1,6,167.5,324.0,23.0,30.0
1,7,104.0,248.0,20.0,26.0
1,8,373.0,441.5,18.0,21.0
1,9,439.0,85.0,28.0,30.0
1,10,319.0,414.5,22.0,29.0
1,11,213.5,210.5,31.0,33.0
1,12,88.0,71.0,36.0,32.0
1,13,412.0,416.5,24.0,25.0
1,14,234.5,512.0,25.0,30.0
1,15,81.5,204.5,21.0,27.0
1,16,343.5,360.0,21.0,34.0
1,17,213.5,274.0,23.0,18.0
1,18,378.5,295.0,17.0,20.0
1,19,402.5,540.0,37.0,42.0
1,20,389.0,142.5,24.0,23.0
1,21,276.0,106.5,26.0,23.0
1,22,21.0,201.5,26.0,27.0
1,23,136.0,614.0,22.0,30.0
1,24,541.5,20.5,19.0,31.0
1,25,90.0,70.5,42.0,45.0
1,26,234.5,169.5,21.0,23.0
1,27,405.5,194.0,21.0,30.0
1,28,420.0,107.5,22.0,27.0
1,29,117.0,276.0,24.0,26.0
1,30,274.0,161.0,20.0,30.0
1,31,56.5,401.5,23.0,33.0
1,32,250.0,269.5,24.0,27.0
1,33,263.0,198.5,20.0,19.0
1,34,255.0,222.0,18.0,22.0
1,35,606.0,418.5,26.0,29.0
1,36,254.5,341.5,17.0,23.0
1,37,262.0,94.0,16.0,22.0
1,38,133.0,564.0,18.0,30.0
1,39,252.5,295.5,19.0,23.0
1,40,488.0,222.5,20.0,25.0
1,41,559.5,47.5,21.0,29.0
1,42,466.5,531.0,17.0,28.0
1,43,558.5,141.5,19.0,23.0
1,44,548.5,476.5,19.0,21.0
1,45,421.0,546.5,20.0,21.0
1,46,199.0,585.0,22.0,28.0
1,47,539.0,192.0,26.0,22.0
1,48,259.0,366.5,22.0,21.0
1,49,407.0,541.5,22.0,27.0
1,50,616.5,74.0,19.0,28.0
1,51,78.5,160.5,21.0,33.0
1,52,567.0,129.5,16.0,23.0
1,53,279.5,16.0,19.0,22.0
1,54,518.0,490.5,20.0,29.0
1,55,568.5,332.0,21.0,22.0
1,56,566.5,236.0,19.0,24.0
1,57,338.5,95.0,23.0,26.0
1,58,589.5,181.5,23.0,25.0
1,59,352.5,465.0,23.0,26.0
1,60,298.0,11.5,20.0,23.0
1,61,625.0,129.5,20.0,23.0
1,62,216.5,601.0,23.0,26.0
2,0,235.0,177.0,54.0,56.0
2,1,347.5,440.5,81.0,97.0
2,2,365.0,418.0,18.0,22.0
2,3,311.0,198.0,22.0,20.0
2,4,103.0,247.5,20.0,25.0
2,5,356.5,312.5,23.0,25.0
2,6,550.0,477.5,20.0,21.0
2,7,410.5,416.5,23.0,25.0
2,8,343.0,360.0,22.0,34.0
2,9,234.5,170.0,21.0,24.0
2,10,80.5,203.5,21.0,27.0
2,11,401.0,191.0,20.0,30.0
2,12,318.0,417.5,22.0,31.0
2,13,605.5,419.5,27.0,31.0
2,14,115.0,276.0,24.0,26.0
2,15,377.0,294.5,18.0,19.0
2,16,235.5,512.0,25.0,30.0
2,17,373.0,441.5,18.0,21.0
2,18,434.5,83.0,27.0,30.0
2,19,386.5,139.5,25.0,27.0
2,20,21.0,201.0,26.0,26.0
2,21,263.0,368.5,20.0,21.0
2,22,559.5,47.5,21.0,29.0
2,23,135.0,610.0,22.0,30.0
2,24,198.0,583.5,22.0,27.0
2,25,211.0,210.5,32.0,33.0
2,26,213.5,274.0,23.0,18.0
2,27,541.0,20.5,18.0,31.0
2,28,401.5,540.0,37.0,42.0
2,29,275.5,106.0,27.0,22.0
