epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.184,2.71936,4.08902,0.00693,0.1119,0.43395,0.13735,0.03436,2.09616,2.8092,0.00493,0.00010003,0.00010003,0.00010003
2,494.694,2.27957,2.86395,0.00469,0.1825,0.30875,0.19643,0.06717,1.66134,4.42552,0.00376,0.000212228,0.000212228,0.000212228
3,750.811,1.9531,2.08837,0.00388,0.18132,0.29347,0.17725,0.03997,1.98922,6.36634,0.00434,0.000322162,0.000322162,0.000322162
4,1002.21,1.93477,1.82219,0.004,0.61921,0.4736,0.44149,0.16272,1.85673,2.10409,0.00407,0.000429833,0.000429833,0.000429833
5,1245.01,1.90598,1.46083,0.00383,0.85059,0.54533,0.52244,0.25099,1.83275,1.75408,0.00406,0.000535241,0.000535241,0.000535241
6,1500.1,1.94665,1.24713,0.0038,0.58051,0.57917,0.51565,0.23378,1.97194,1.69814,0.00469,0.000638384,0.000638384,0.000638384
7,1736.16,1.92055,1.14338,0.00368,0.81341,0.69032,0.73844,0.36484,1.83731,1.07856,0.00405,0.000739265,0.000739265,0.000739265
8,1982.6,2.02826,1.02787,0.00402,0.77223,0.65918,0.67794,0.34526,2.11399,1.06004,0.00499,0.000837881,0.000837881,0.000837881
9,2230.92,1.89542,1.02089,0.0038,0.77673,0.6395,0.65643,0.26908,2.37945,1.26022,0.0051,0.000934234,0.000934234,0.000934234
10,2484.87,2.24846,1.1764,0.00459,0.87372,0.67624,0.70311,0.32595,2.01062,0.9288,0.0044,0.00102832,0.00102832,0.00102832
11,2728.24,2.07504,0.95853,0.00418,0.64096,0.57748,0.53696,0.23861,2.72495,1.13131,0.00739,0.00112015,0.00112015,0.00112015
12,2979.3,2.34859,0.99668,0.00456,0.69352,0.55685,0.52873,0.26651,2.89546,1.23045,0.00789,0.00120971,0.00120971,0.00120971
13,3230.6,2.0293,0.90496,0.00422,0.8653,0.76847,0.85985,0.4867,1.83471,0.79884,0.00411,0.00125923,0.00125923,0.00125923
14,3483.9,2.09168,0.95046,0.00424,0.82509,0.80454,0.87473,0.46573,1.70956,0.78949,0.00384,0.00124509,0.00124509,0.00124509
15,3729.14,1.94273,0.8701,0.00373,0.87257,0.71053,0.80678,0.32952,2.00336,0.82468,0.0048,0.00123094,0.00123094,0.00123094
16,3969.32,1.96555,0.85063,0.00429,0.7318,0.63555,0.66559,0.29276,2.65012,1.17909,0.00685,0.00121679,0.00121679,0.00121679
17,4209.25,1.98684,0.85804,0.00425,0.65783,0.55707,0.58929,0.29185,3.11892,1.40494,0.00893,0.00120265,0.00120265,0.00120265
18,4449.52,2.01279,0.82724,0.00417,0.69892,0.74062,0.70937,0.24899,3.01218,1.12222,0.00847,0.0011885,0.0011885,0.0011885
19,4697.07,1.83606,0.78445,0.00371,0.90142,0.87441,0.93872,0.51259,1.71271,0.67459,0.00393,0.00117435,0.00117435,0.00117435
20,4944.18,1.85737,0.77948,0.00376,0.8679,0.85263,0.88046,0.43032,1.67636,0.68518,0.00373,0.00116021,0.00116021,0.00116021
21,5193.93,1.86257,0.79557,0.00366,0.83566,0.80143,0.85193,0.42776,1.62534,0.67073,0.00366,0.00114606,0.00114606,0.00114606
22,6350.75,1.7276,0.70933,0.00342,0.87593,0.83567,0.89455,0.47943,1.71554,0.65327,0.00393,0.00113191,0.00113191,0.00113191
23,6599.56,1.714,0.69577,0.00329,0.9308,0.88376,0.94467,0.52273,1.78524,0.622,0.00415,0.00111776,0.00111776,0.00111776
24,6848.23,1.6966,0.70357,0.00342,0.87496,0.92282,0.94496,0.54422,1.56198,0.59706,0.00342,0.00110362,0.00110362,0.00110362
25,8257.19,1.69342,0.69564,0.00337,0.9155,0.90904,0.94822,0.54568,1.54069,0.59624,0.00338,0.00108947,0.00108947,0.00108947
26,8623.92,1.74269,0.67638,0.00334,0.898,0.91662,0.95026,0.56765,1.61598,0.59674,0.0036,0.00107532,0.00107532,0.00107532
27,8872.29,1.68176,0.66534,0.00363,0.92565,0.92939,0.95623,0.5788,1.54615,0.5814,0.0034,0.00106118,0.00106118,0.00106118
28,9117.77,1.66431,0.64071,0.00316,0.93034,0.9224,0.95764,0.60257,1.51139,0.56479,0.00318,0.00104703,0.00104703,0.00104703
29,9364.32,1.64762,0.66328,0.00359,0.9483,0.92964,0.96555,0.59973,1.4907,0.54035,0.00326,0.00103288,0.00103288,0.00103288
30,9602.72,1.54121,0.61326,0.00294,0.89489,0.9235,0.95842,0.60259,1.44135,0.52435,0.00318,0.00101873,0.00101873,0.00101873
31,9859.41,1.46385,0.56683,0.00284,0.94115,0.95197,0.96987,0.63958,1.36089,0.50886,0.0029,0.00100459,0.00100459,0.00100459
32,10113.9,1.50563,0.58086,0.00277,0.89794,0.91955,0.95429,0.64265,1.409,0.55335,0.00299,0.00099044,0.00099044,0.00099044
33,10353.9,1.45615,0.5746,0.00279,0.84475,0.92713,0.94222,0.60125,1.35699,0.557,0.00289,0.000976293,0.000976293,0.000976293
34,10597.2,1.44222,0.57401,0.00277,0.879,0.9069,0.95091,0.61298,1.35518,0.55504,0.00281,0.000962146,0.000962146,0.000962146
35,10846.5,1.46581,0.55834,0.0027,0.93921,0.90673,0.96758,0.62493,1.28273,0.52996,0.0027,0.000947999,0.000947999,0.000947999
36,11087.5,1.47646,0.55387,0.00287,0.94745,0.94825,0.97381,0.63821,1.43774,0.53208,0.0031,0.000933851,0.000933851,0.000933851
37,11327.4,1.43962,0.53565,0.00284,0.94881,0.9235,0.97328,0.662,1.30049,0.48096,0.00276,0.000919704,0.000919704,0.000919704
38,11574.6,1.39582,0.51731,0.00255,0.95295,0.93228,0.97614,0.69275,1.3321,0.4681,0.00273,0.000905557,0.000905557,0.000905557
39,11825.9,1.38794,0.50928,0.00252,0.95952,0.95246,0.97916,0.69155,1.2788,0.44116,0.00267,0.00089141,0.00089141,0.00089141
40,12066.4,1.42213,0.51615,0.00272,0.96357,0.93772,0.97551,0.69647,1.23226,0.43292,0.0026,0.000877263,0.000877263,0.000877263
41,12309.4,1.37902,0.4965,0.00271,0.95607,0.94926,0.97673,0.71789,1.21775,0.43415,0.00252,0.000863116,0.000863116,0.000863116
42,12557.2,1.38752,0.50359,0.00257,0.97061,0.95315,0.97956,0.72624,1.25262,0.44225,0.00261,0.000848969,0.000848969,0.000848969
43,12802.1,1.33059,0.49514,0.00256,0.95928,0.96309,0.97935,0.74187,1.18361,0.4264,0.00246,0.000834822,0.000834822,0.000834822
44,13052.7,1.27372,0.46603,0.00221,0.94707,0.97202,0.97916,0.73767,1.15096,0.42082,0.00238,0.000820675,0.000820675,0.000820675
45,13302,1.32748,0.4999,0.00253,0.94604,0.96904,0.97976,0.73074,1.1831,0.41908,0.00246,0.000806528,0.000806528,0.000806528
46,13552.2,1.30659,0.47733,0.00245,0.94802,0.95956,0.98169,0.74524,1.12516,0.41213,0.00234,0.00079238,0.00079238,0.00079238
47,13802.8,1.31485,0.47779,0.00246,0.96216,0.95272,0.97887,0.69317,1.4358,0.47041,0.00293,0.000778233,0.000778233,0.000778233
48,14057.5,1.35265,0.48268,0.00228,0.96377,0.96324,0.9812,0.6999,1.34783,0.4461,0.00277,0.000764086,0.000764086,0.000764086
49,14305.6,1.25665,0.45701,0.00244,0.96945,0.96538,0.98455,0.73959,1.07297,0.38462,0.00226,0.000749939,0.000749939,0.000749939
