epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.807,2.68266,4.84801,0.00643,0.04948,0.20257,0.02412,0.00562,2.05067,3.38952,0.00491,0.00010003,0.00010003,0.00010003
2,515.602,2.17104,2.94809,0.00488,0.27347,0.35537,0.32057,0.12505,1.8565,3.0092,0.00418,0.000212228,0.000212228,0.000212228
3,858.839,1.97727,1.89657,0.00397,0.09766,0.15082,0.06507,0.01086,2.42514,8.59403,0.00533,0.000322162,0.000322162,0.000322162
4,1257.69,1.86289,1.74449,0.00408,0.73901,0.4899,0.45822,0.1974,1.89955,2.00884,0.00414,0.000429833,0.000429833,0.000429833
5,1670.64,1.86902,1.54128,0.00402,0.83097,0.48706,0.54902,0.25829,1.87315,1.42051,0.00421,0.000535241,0.000535241,0.000535241
6,2103.33,1.8431,1.29285,0.00383,0.88275,0.55748,0.72927,0.35281,1.81061,1.27108,0.00404,0.000638384,0.000638384,0.000638384
7,2461.42,1.95829,1.16745,0.00377,0.80578,0.65906,0.76648,0.37716,1.7454,1.25866,0.0039,0.000739265,0.000739265,0.000739265
8,2752.26,1.92357,1.06547,0.00383,0.77928,0.67528,0.74341,0.41182,1.81212,1.13962,0.00398,0.000837881,0.000837881,0.000837881
9,3064.95,1.95415,0.93369,0.00401,0.89306,0.65227,0.72077,0.34701,2.07608,0.9323,0.00499,0.000934234,0.000934234,0.000934234
10,3343.02,2.04667,0.91742,0.00448,0.91008,0.64027,0.7559,0.41398,1.83727,0.78105,0.0041,0.00102832,0.00102832,0.00102832
11,3614.6,1.82643,0.86464,0.00378,0.85046,0.70014,0.82008,0.44333,1.82236,0.77668,0.00411,0.00112015,0.00112015,0.00112015
12,3908.45,1.82311,0.80254,0.00349,0.73937,0.7787,0.7985,0.3496,2.42269,1.48346,0.00607,0.00120971,0.00120971,0.00120971
13,4197.65,1.87741,0.90343,0.00355,0.78536,0.78165,0.84947,0.4528,1.6504,1.21475,0.00364,0.00125923,0.00125923,0.00125923
14,4481.33,1.85989,0.9806,0.00413,0.70113,0.83475,0.83035,0.39122,2.18101,1.39546,0.00514,0.00124509,0.00124509,0.00124509
15,4745.98,1.81791,0.79196,0.00365,0.79776,0.69737,0.83493,0.41593,1.99699,0.91208,0.00459,0.00123094,0.00123094,0.00123094
16,5029.95,1.74731,0.76891,0.00329,0.75317,0.9114,0.87846,0.47938,1.58862,0.6477,0.0035,0.00121679,0.00121679,0.00121679
17,5318.6,1.71491,0.74094,0.00348,0.8234,0.88617,0.85819,0.44689,1.95515,0.70156,0.00458,0.00120265,0.00120265,0.00120265
18,5599.01,1.62198,0.71473,0.0034,0.84406,0.87336,0.9069,0.53718,1.54951,0.60787,0.00341,0.0011885,0.0011885,0.0011885
19,5878.85,1.75466,0.71653,0.00329,0.85447,0.80479,0.89949,0.44955,1.95926,0.7644,0.00409,0.00117435,0.00117435,0.00117435
20,6144,1.7264,0.72447,0.00345,0.78146,0.8269,0.91194,0.52165,1.55194,0.62944,0.00337,0.00116021,0.00116021,0.00116021
21,6404.32,1.7817,0.7293,0.00344,0.75504,0.87311,0.89198,0.51196,1.62694,0.59272,0.0036,0.00114606,0.00114606,0.00114606
22,6685.73,1.59807,0.65382,0.00323,0.89594,0.80961,0.91516,0.55345,1.40347,0.52746,0.00297,0.00113191,0.00113191,0.00113191
23,6972.45,1.6754,0.64899,0.0031,0.90801,0.84536,0.93862,0.57814,1.50363,0.54533,0.00326,0.00111776,0.00111776,0.00111776
24,7273.4,1.64962,0.65951,0.00337,0.90313,0.86687,0.95155,0.59004,1.61246,0.55857,0.00342,0.00110362,0.00110362,0.00110362
25,7652.23,1.53695,0.62844,0.00283,0.93262,0.88128,0.96042,0.59383,1.53246,0.53196,0.00319,0.00108947,0.00108947,0.00108947
26,7970.06,1.71242,0.61747,0.00342,0.92872,0.93381,0.96433,0.6206,1.59073,0.52363,0.00354,0.00107532,0.00107532,0.00107532
27,8313.64,1.75845,0.63546,0.00339,0.92561,0.93085,0.96192,0.64416,1.52457,0.51333,0.0033,0.00106118,0.00106118,0.00106118
28,8692.96,1.59875,0.60854,0.00294,0.82846,0.93279,0.89174,0.57982,1.51279,0.55013,0.00311,0.00104703,0.00104703,0.00104703
29,9026.56,1.51748,0.59953,0.00297,0.83663,0.92307,0.93913,0.63569,1.40226,0.51282,0.00298,0.00103288,0.00103288,0.00103288
30,9340.26,1.5456,0.57738,0.00293,0.92455,0.85991,0.95429,0.63854,1.42015,0.49072,0.00307,0.00101873,0.00101873,0.00101873
31,9653.23,1.61189,0.6111,0.00298,0.95669,0.85829,0.95927,0.6393,1.45104,0.51826,0.003,0.00100459,0.00100459,0.00100459
32,9962.6,1.5968,0.57543,0.00278,0.93147,0.93137,0.96703,0.62009,1.49432,0.52825,0.00303,0.00099044,0.00099044,0.00099044
33,10247.9,1.56392,0.60714,0.00322,0.96046,0.91852,0.97492,0.66453,1.35879,0.49413,0.00291,0.000976293,0.000976293,0.000976293
34,10576.3,1.48356,0.56202,0.00288,0.93836,0.94888,0.97192,0.67138,1.40527,0.50204,0.00303,0.000962146,0.000962146,0.000962146
35,10884.9,1.46063,0.55004,0.00263,0.97192,0.95018,0.97632,0.6731,1.36358,0.50319,0.00284,0.000947999,0.000947999,0.000947999
36,11180.5,1.45823,0.57394,0.00292,0.96522,0.94415,0.97636,0.7002,1.29906,0.50284,0.00272,0.000933851,0.000933851,0.000933851
37,11498.7,1.4915,0.56012,0.00288,0.94418,0.94187,0.9764,0.66183,1.36807,0.50349,0.00295,0.000919704,0.000919704,0.000919704
38,11797.2,1.49702,0.56456,0.00279,0.96601,0.93896,0.97719,0.62807,1.34411,0.48743,0.00286,0.000905557,0.000905557,0.000905557
39,12055.4,1.42161,0.5339,0.00281,0.97253,0.95761,0.97656,0.61265,1.47274,0.50351,0.003,0.00089141,0.00089141,0.00089141
40,12332.8,1.46249,0.53872,0.00266,0.97201,0.95866,0.97671,0.65628,1.41079,0.48357,0.00292,0.000877263,0.000877263,0.000877263
41,12636.2,1.4281,0.53679,0.00264,0.98518,0.94155,0.97963,0.68064,1.26418,0.46473,0.00274,0.000863116,0.000863116,0.000863116
42,13055.8,1.3724,0.51705,0.0026,0.96662,0.90923,0.97661,0.69135,1.19404,0.44843,0.00254,0.000848969,0.000848969,0.000848969
43,13417.2,1.38044,0.51893,0.00253,0.96474,0.9154,0.97422,0.67938,1.29311,0.45871,0.00267,0.000834822,0.000834822,0.000834822
44,13763.5,1.30112,0.48633,0.00243,0.96847,0.94261,0.9783,0.71502,1.21366,0.44806,0.00252,0.000820675,0.000820675,0.000820675
45,14106.7,1.29,0.48974,0.00245,0.96245,0.94523,0.97915,0.71377,1.14793,0.41941,0.00242,0.000806528,0.000806528,0.000806528
46,14521,1.35359,0.50452,0.00263,0.96033,0.92763,0.97711,0.71202,1.22058,0.43848,0.00252,0.00079238,0.00079238,0.00079238
47,14857.7,1.27026,0.47453,0.00239,0.96032,0.96065,0.98034,0.74031,1.21391,0.42714,0.00246,0.000778233,0.000778233,0.000778233
48,15247.7,1.29188,0.48992,0.00235,0.97582,0.9716,0.98235,0.74963,1.09861,0.39917,0.00226,0.000764086,0.000764086,0.000764086
49,15634.5,1.24779,0.46558,0.00227,0.97071,0.96317,0.98255,0.73423,1.11063,0.40313,0.0023,0.000749939,0.000749939,0.000749939
50,16001.6,1.26417,0.48303,0.00232,0.98277,0.97095,0.98296,0.742,1.13344,0.3968,0.00233,0.000735792,0.000735792,0.000735792
