epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1623,3.04839,4.12507,1.75266,0,0,0,0,2.50278,4.09847,1.36951,0.00010003,0.00010003,0.00010003
2,45.4873,2.61417,3.75662,1.36631,0,0,0,0,2.14901,3.974,1.21071,0.000212228,0.000212228,0.000212228
3,67.3927,2.32182,2.95592,1.197,0.0103,0.04901,0.01482,0.00459,2.10769,3.64217,1.17856,0.000322162,0.000322162,0.000322162
4,89.084,2.19986,2.12659,1.13472,0.16515,0.47167,0.41565,0.12137,2.64635,2.79414,1.39659,0.000429833,0.000429833,0.000429833
5,110.569,2.203,1.692,1.10751,0.92426,0.32982,0.46416,0.16228,2.29106,1.97418,1.2108,0.000535241,0.000535241,0.000535241
6,133.326,2.21274,1.49813,1.08644,0.86448,0.35495,0.55157,0.21137,2.58268,1.77651,1.339,0.000638384,0.000638384,0.000638384
7,155.863,2.23587,1.372,1.10821,0.67286,0.3431,0.2792,0.09993,3.21945,1.56786,1.72658,0.000739265,0.000739265,0.000739265
8,176.399,2.08868,1.26191,1.07102,0.78512,0.47103,0.46321,0.16111,2.68905,1.35725,1.40153,0.000837881,0.000837881,0.000837881
9,197.639,2.08654,1.24618,1.0712,0.69879,0.69555,0.70166,0.31095,2.12951,1.42316,1.18749,0.000934234,0.000934234,0.000934234
10,218.722,2.0825,1.21456,1.10683,0.58343,0.64897,0.60535,0.25056,2.46233,1.74983,1.37374,0.00102832,0.00102832,0.00102832
11,240.463,2.10482,1.19041,1.07979,0.61134,0.65948,0.56346,0.2459,2.69918,1.97614,1.50145,0.00112015,0.00112015,0.00112015
12,263.524,2.14798,1.20204,1.06107,0.64988,0.69085,0.64176,0.27196,2.43228,1.89887,1.3177,0.00120971,0.00120971,0.00120971
13,285.291,2.01012,1.15759,1.07589,0.62767,0.71681,0.65729,0.25978,2.3576,1.73501,1.26238,0.00125923,0.00125923,0.00125923
14,306.799,1.97891,1.12767,1.06904,0.67876,0.68775,0.66855,0.25117,2.47405,1.57801,1.30461,0.00124509,0.00124509,0.00124509
15,328.399,1.9357,1.09299,1.04838,0.91509,0.7951,0.8418,0.35678,2.0401,1.2712,1.12451,0.00123094,0.00123094,0.00123094
16,349.305,1.92249,1.05309,1.06544,0.86048,0.8133,0.86621,0.44052,1.78086,1.10527,1.03807,0.00121679,0.00121679,0.00121679
17,370.004,1.86023,1.0362,1.0486,0.80436,0.88921,0.85401,0.42823,1.95034,1.15605,1.09387,0.00120265,0.00120265,0.00120265
18,390.676,1.8501,1.02677,1.03587,0.7672,0.85134,0.86454,0.4377,1.94971,1.19436,1.09373,0.0011885,0.0011885,0.0011885
19,411.085,1.80488,1.02051,1.0129,0.91858,0.71528,0.85923,0.46875,1.68727,1.0545,1.01104,0.00117435,0.00117435,0.00117435
20,431.722,1.79863,0.99295,1.01368,0.84172,0.76927,0.89065,0.46879,1.69455,0.98925,1.00279,0.00116021,0.00116021,0.00116021
21,453.597,1.84778,0.99961,1.02229,0.86102,0.82174,0.90789,0.46498,1.60341,0.89104,0.98478,0.00114606,0.00114606,0.00114606
22,477.162,1.76744,0.95578,1.00433,0.82736,0.89935,0.92529,0.46998,1.62388,0.88721,0.99393,0.00113191,0.00113191,0.00113191
23,500.556,1.76063,0.95854,0.99654,0.88639,0.92776,0.94506,0.47161,1.65198,0.88561,0.99666,0.00111776,0.00111776,0.00111776
24,521.318,1.78755,0.95334,1.01257,0.84771,0.88488,0.91297,0.41068,1.95651,1.02593,1.05206,0.00110362,0.00110362,0.00110362
25,542.963,1.73482,0.9349,1.0018,0.80565,0.90699,0.91004,0.48452,1.76188,0.94194,1.0116,0.00108947,0.00108947,0.00108947
26,563.63,1.76093,0.91961,0.99506,0.83808,0.93653,0.92345,0.5184,1.61683,0.8503,0.99589,0.00107532,0.00107532,0.00107532
27,584.417,1.68315,0.91705,1.02815,0.88805,0.93979,0.94423,0.53524,1.62307,0.82393,0.99568,0.00106118,0.00106118,0.00106118
28,605.372,1.66838,0.87679,0.99006,0.92849,0.94881,0.95971,0.56721,1.52378,0.81856,0.97136,0.00104703,0.00104703,0.00104703
29,625.744,1.63066,0.88946,1.01775,0.93268,0.94668,0.96001,0.60338,1.4499,0.78237,0.96034,0.00103288,0.00103288,0.00103288
30,646.4,1.61878,0.86191,0.97995,0.90508,0.94308,0.95621,0.57252,1.63729,0.79846,1.00638,0.00101873,0.00101873,0.00101873
31,667.084,1.58467,0.8536,0.98201,0.89083,0.91594,0.95637,0.60055,1.48974,0.77683,0.9728,0.00100459,0.00100459,0.00100459
32,687.855,1.57266,0.85197,0.96401,0.92891,0.83361,0.94377,0.53466,1.8639,0.88484,1.01897,0.00099044,0.00099044,0.00099044
33,708.172,1.59611,0.84563,0.96576,0.88822,0.89553,0.94917,0.53451,1.82638,0.87712,1.0122,0.000976293,0.000976293,0.000976293
34,728.611,1.60014,0.84212,0.97731,0.94303,0.94336,0.96461,0.60449,1.43054,0.77227,0.94822,0.000962146,0.000962146,0.000962146
35,749.768,1.58939,0.83238,0.96492,0.94928,0.94311,0.9632,0.58726,1.41418,0.76622,0.94555,0.000947999,0.000947999,0.000947999
36,770.307,1.53124,0.81484,0.96056,0.93514,0.95446,0.958,0.57176,1.5461,0.80131,0.95934,0.000933851,0.000933851,0.000933851
