epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1473,3.07508,3.83447,1.8146,0.73383,0.31678,0.23685,0.06682,2.45339,2.9048,1.3488,0.00010003,0.00010003,0.00010003
2,95.36,2.58042,1.7138,1.38301,0.3052,0.51894,0.29778,0.08781,2.17736,1.82662,1.19919,0.000212228,0.000212228,0.000212228
3,141.808,2.19448,1.30399,1.18446,0.54336,0.48148,0.37603,0.12711,2.16323,1.76198,1.17823,0.000322162,0.000322162,0.000322162
4,188.895,2.00694,1.17654,1.12919,0.89432,0.41794,0.46752,0.1837,1.94563,1.90445,1.11979,0.000429833,0.000429833,0.000429833
5,234.027,2.01668,1.11032,1.12525,0.56013,0.62026,0.64024,0.26069,2.03536,2.10998,1.13277,0.000535241,0.000535241,0.000535241
6,279.78,1.97316,1.03958,1.08841,0.63868,0.73002,0.79788,0.37762,2.15565,2.55541,1.20212,0.000638384,0.000638384,0.000638384
7,325.493,1.95285,0.9841,1.08935,0.91918,0.57052,0.77771,0.40767,1.70186,2.15934,1.04159,0.000739265,0.000739265,0.000739265
8,371.653,1.81982,0.96765,1.05888,0.82763,0.65647,0.80913,0.41541,1.67548,1.31939,1.03617,0.000837881,0.000837881,0.000837881
9,418.459,1.76879,0.89351,1.06241,0.92209,0.8025,0.87233,0.4698,1.74632,1.28945,1.0543,0.000934234,0.000934234,0.000934234
10,463.764,1.7984,0.92661,1.09511,0.89968,0.81684,0.87983,0.50213,1.58663,1.2536,1.01096,0.00102832,0.00102832,0.00102832
11,509.525,1.75408,0.86599,1.04509,0.91438,0.82412,0.88651,0.46257,1.73188,1.00408,1.06075,0.00112015,0.00112015,0.00112015
12,555.069,1.80116,0.90428,1.02443,0.91334,0.85155,0.89706,0.49017,1.57427,0.8085,1.00126,0.00120971,0.00120971,0.00120971
13,600.992,1.66196,0.85186,1.03628,0.88377,0.85454,0.89892,0.52348,1.55668,0.92941,0.99266,0.00125923,0.00125923,0.00125923
14,646.529,1.70507,0.83645,1.0448,0.86872,0.87765,0.91824,0.50672,1.81281,1.24412,1.07996,0.00124509,0.00124509,0.00124509
15,692.159,1.71707,0.82268,1.03666,0.92528,0.83949,0.92726,0.54233,1.65878,1.13005,1.03517,0.00123094,0.00123094,0.00123094
16,736.952,1.70801,0.81332,1.06032,0.95686,0.82213,0.91465,0.59447,1.49145,0.86441,0.9729,0.00121679,0.00121679,0.00121679
17,780.81,1.65587,0.81519,1.03447,0.94928,0.81506,0.92467,0.59876,1.48171,0.76368,0.97597,0.00120265,0.00120265,0.00120265
18,825.652,1.66008,0.80484,1.01779,0.93525,0.83182,0.9377,0.58815,1.62292,0.76332,1.01623,0.0011885,0.0011885,0.0011885
19,869.699,1.62693,0.75446,1.00585,0.95177,0.89032,0.95971,0.61193,1.44522,0.75103,0.96857,0.00117435,0.00117435,0.00117435
20,913.674,1.56435,0.75285,1.00789,0.93487,0.8885,0.9534,0.57351,1.62376,0.79303,0.99697,0.00116021,0.00116021,0.00116021
21,958.44,1.57229,0.7754,1.0063,0.93912,0.91041,0.95832,0.61657,1.50258,0.72272,0.97065,0.00114606,0.00114606,0.00114606
22,1003.31,1.54469,0.74715,0.99469,0.92302,0.94962,0.96042,0.59468,1.54451,0.71696,1.00126,0.00113191,0.00113191,0.00113191
23,1048.22,1.5529,0.73245,0.99131,0.94839,0.94432,0.9671,0.62347,1.54171,0.68988,0.99492,0.00111776,0.00111776,0.00111776
24,1094.29,1.51391,0.72995,0.98998,0.9505,0.93844,0.96143,0.6138,1.38224,0.68,0.94886,0.00110362,0.00110362,0.00110362
25,1139.35,1.4662,0.7216,0.98207,0.93986,0.93545,0.96604,0.62426,1.35734,0.66787,0.94104,0.00108947,0.00108947,0.00108947
26,1184.22,1.47924,0.69794,0.96403,0.94397,0.95644,0.97161,0.66926,1.289,0.63431,0.93077,0.00107532,0.00107532,0.00107532
27,1229.34,1.42554,0.71024,1.00868,0.96253,0.95674,0.97456,0.65354,1.33154,0.63061,0.94427,0.00106118,0.00106118,0.00106118
28,1274.8,1.42854,0.68384,0.96911,0.94455,0.9535,0.97314,0.65189,1.29318,0.63009,0.93931,0.00104703,0.00104703,0.00104703
29,1320.04,1.38443,0.6679,0.99881,0.94505,0.95645,0.97279,0.67127,1.30088,0.62183,0.93743,0.00103288,0.00103288,0.00103288
30,1365.41,1.34873,0.64364,0.9462,0.96052,0.95417,0.97381,0.68505,1.19945,0.59224,0.91856,0.00101873,0.00101873,0.00101873
31,1411.64,1.33208,0.63268,0.95127,0.97487,0.95964,0.97509,0.69272,1.22661,0.5983,0.91559,0.00100459,0.00100459,0.00100459
32,1458.17,1.28935,0.61717,0.93037,0.97338,0.96565,0.97637,0.68865,1.22286,0.59061,0.91678,0.00099044,0.00099044,0.00099044
33,1503.11,1.30535,0.61975,0.93588,0.96334,0.97026,0.97715,0.69661,1.24916,0.59474,0.9235,0.000976293,0.000976293,0.000976293
34,1548.17,1.28306,0.62957,0.93983,0.96099,0.9699,0.97677,0.69673,1.25158,0.59558,0.9209,0.000962146,0.000962146,0.000962146
35,1594.6,1.27622,0.62847,0.92638,0.97108,0.96814,0.97998,0.7197,1.1114,0.57884,0.8927,0.000947999,0.000947999,0.000947999
36,1640.62,1.24803,0.61153,0.92737,0.95062,0.96078,0.97729,0.72314,1.114,0.57044,0.89197,0.000933851,0.000933851,0.000933851
37,1683.74,1.26668,0.60673,0.93155,0.94813,0.96606,0.97937,0.73673,1.15033,0.55666,0.90156,0.000919704,0.000919704,0.000919704
38,1728.19,1.27933,0.60074,0.92197,0.95596,0.96843,0.98176,0.74844,1.07762,0.55131,0.88951,0.000905557,0.000905557,0.000905557
39,1772.27,1.26743,0.59762,0.91602,0.97248,0.963,0.98028,0.68647,1.3581,0.60899,0.92834,0.00089141,0.00089141,0.00089141
40,1816.63,1.31657,0.6076,0.93458,0.97421,0.96663,0.9798,0.66851,1.40549,0.61316,0.93398,0.000877263,0.000877263,0.000877263
41,1860.75,1.20701,0.57997,0.92081,0.9805,0.97088,0.98263,0.7293,1.09178,0.54928,0.88839,0.000863116,0.000863116,0.000863116
42,1905.09,1.25352,0.57865,0.9205,0.98166,0.97116,0.98275,0.73705,1.09865,0.54372,0.88975,0.000848969,0.000848969,0.000848969
43,1949.59,1.23913,0.57319,0.91831,0.98241,0.97255,0.98349,0.73539,1.08089,0.54222,0.88328,0.000834822,0.000834822,0.000834822
44,1993.8,1.20748,0.57481,0.89632,0.97929,0.97102,0.98285,0.69968,1.22334,0.57867,0.90486,0.000820675,0.000820675,0.000820675
45,2038.76,1.26208,0.60823,0.93314,0.97765,0.96799,0.98223,0.72491,1.25143,0.57921,0.90315,0.000806528,0.000806528,0.000806528
46,2084.06,1.16148,0.57547,0.90966,0.97826,0.97177,0.98334,0.73844,1.02647,0.52742,0.87363,0.00079238,0.00079238,0.00079238
47,2128.96,1.1451,0.55979,0.90343,0.98254,0.97191,0.984,0.77448,1.02783,0.51502,0.87476,0.000778233,0.000778233,0.000778233
48,2175.32,1.14463,0.55695,0.88664,0.98168,0.9726,0.98424,0.73603,0.99167,0.50799,0.86759,0.000764086,0.000764086,0.000764086
49,2220.97,1.21398,0.56748,0.91909,0.9812,0.97129,0.98273,0.66012,1.2618,0.55892,0.89882,0.000749939,0.000749939,0.000749939
50,2265.26,1.24139,0.57699,0.92503,0.97841,0.97142,0.98275,0.69858,1.25154,0.55821,0.8941,0.000735792,0.000735792,0.000735792
51,2310.19,1.13511,0.55825,0.90203,0.98016,0.97212,0.9826,0.79423,0.94878,0.50225,0.85906,0.000721645,0.000721645,0.000721645
52,2356.32,1.14911,0.55536,0.89589,0.98039,0.97289,0.98322,0.78238,0.98451,0.49248,0.86703,0.000707498,0.000707498,0.000707498
53,2401.62,1.09408,0.53928,0.89208,0.97998,0.97332,0.9845,0.79244,0.93455,0.48453,0.85831,0.000693351,0.000693351,0.000693351
54,2446.08,1.0903,0.53348,0.88609,0.97912,0.97217,0.98459,0.77939,1.04175,0.50811,0.86627,0.000679204,0.000679204,0.000679204
55,2490.2,1.13604,0.54816,0.8919,0.97982,0.97127,0.98434,0.74571,1.10465,0.52005,0.87465,0.000665057,0.000665057,0.000665057
56,2534.83,1.09316,0.53467,0.88331,0.97957,0.97339,0.98517,0.79138,0.92692,0.48275,0.85359,0.000650909,0.000650909,0.000650909
57,2580.05,1.0955,0.53541,0.89329,0.98284,0.97524,0.98603,0.78109,0.97478,0.48394,0.86285,0.000636762,0.000636762,0.000636762
58,2624.78,1.13957,0.53627,0.90443,0.98422,0.97569,0.98609,0.74292,1.03123,0.49331,0.87165,0.000622615,0.000622615,0.000622615
59,2669.87,1.07865,0.53637,0.89298,0.9841,0.97421,0.98607,0.77031,0.90595,0.47648,0.85103,0.000608468,0.000608468,0.000608468
60,2715.3,1.09138,0.53496,0.89628,0.98279,0.97432,0.98538,0.76117,1.11369,0.50873,0.87502,0.000594321,0.000594321,0.000594321
61,2760.61,1.09707,0.52634,0.89,0.9835,0.97466,0.98489,0.72198,1.24911,0.53094,0.8947,0.000580174,0.000580174,0.000580174
62,2806.5,1.08604,0.52921,0.88618,0.98416,0.97497,0.98534,0.74508,1.09005,0.50578,0.87077,0.000566027,0.000566027,0.000566027
63,2851.5,1.05132,0.51467,0.89116,0.98422,0.97497,0.98636,0.80717,0.86595,0.4706,0.8435,0.00055188,0.00055188,0.00055188
64,2897.95,1.09093,0.51515,0.88521,0.98486,0.97445,0.98685,0.81185,0.88975,0.46859,0.84723,0.000537733,0.000537733,0.000537733
65,2943.88,1.07506,0.50744,0.87576,0.98405,0.97446,0.98679,0.80972,0.86905,0.45987,0.84579,0.000523586,0.000523586,0.000523586
66,2988.62,0.99725,0.50101,0.87883,0.98228,0.97445,0.98623,0.80933,0.9027,0.46867,0.84684,0.000509438,0.000509438,0.000509438
67,3033.64,0.9728,0.49404,0.87609,0.98297,0.97445,0.98626,0.81221,0.95893,0.47592,0.85099,0.000495291,0.000495291,0.000495291
68,3079.76,0.95826,0.49077,0.85918,0.98362,0.97507,0.98655,0.82514,0.86364,0.45913,0.84061,0.000481144,0.000481144,0.000481144
69,3125.65,0.93596,0.48072,0.87418,0.98394,0.97524,0.98692,0.82861,0.83673,0.45069,0.83944,0.000466997,0.000466997,0.000466997
70,3171.52,0.96341,0.48322,0.8752,0.98503,0.97415,0.98696,0.81847,0.85985,0.45254,0.84418,0.00045285,0.00045285,0.00045285
71,3216.52,0.95873,0.4831,0.86527,0.984,0.97326,0.98676,0.82953,0.8147,0.44199,0.83844,0.000438703,0.000438703,0.000438703
72,3261.91,0.9505,0.4805,0.86801,0.98536,0.97334,0.98802,0.82415,0.87111,0.4485,0.83999,0.000424556,0.000424556,0.000424556
73,3308.32,0.96415,0.4818,0.85999,0.98478,0.97247,0.98763,0.81243,0.93698,0.46004,0.84588,0.000410409,0.000410409,0.000410409
74,3354.4,0.9374,0.47259,0.8567,0.98187,0.97241,0.98615,0.82807,0.86356,0.44704,0.83806,0.000396262,0.000396262,0.000396262
75,3400.83,0.93482,0.47455,0.86651,0.98119,0.97392,0.9868,0.84461,0.78013,0.43073,0.82898,0.000382115,0.000382115,0.000382115
