epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.805,2.91866,2.99529,1.7078,0.82207,0.40342,0.39305,0.14541,2.04767,3.04537,1.1843,0.00010003,0.00010003,0.00010003
2,622.823,2.29691,1.58265,1.23028,0.35275,0.87717,0.59213,0.24829,1.9524,4.50635,1.13823,0.000212228,0.000212228,0.000212228
3,941.108,1.9912,1.17985,1.13844,0.37545,0.89049,0.45427,0.1773,1.91336,23.688,1.11898,0.000322162,0.000322162,0.000322162
4,1261.32,1.95521,1.0617,1.13334,0.45703,0.67768,0.50003,0.22694,1.77203,4.94615,1.1034,0.000429833,0.000429833,0.000429833
5,1580.37,2.01915,0.99126,1.14496,0.40009,0.94598,0.43906,0.18966,1.90491,7.99733,1.19213,0.000535241,0.000535241,0.000535241
6,1895.81,1.94596,0.99311,1.11261,0.41004,0.79377,0.65706,0.35631,1.73046,3.24113,1.09611,0.000638384,0.000638384,0.000638384
7,2216.41,1.86584,0.86827,1.11728,0.66026,0.80274,0.75578,0.38378,1.89819,2.63639,1.17142,0.000739265,0.000739265,0.000739265
8,2540.31,1.95776,0.89654,1.15978,0.42842,0.32976,0.19294,0.13307,2.28558,9.39179,1.46879,0.000837881,0.000837881,0.000837881
9,2854.29,1.75131,0.80967,1.08568,0.29083,0.92536,0.3852,0.16578,1.78144,3.87273,1.10263,0.000934234,0.000934234,0.000934234
10,3172.53,1.74529,0.80637,1.09007,0.31175,0.88017,0.61073,0.28649,1.66287,3.0884,1.08097,0.00102832,0.00102832,0.00102832
11,3481.17,1.67195,0.85349,1.04091,0.53125,0.90249,0.84223,0.3591,1.89553,2.44563,1.13697,0.00112015,0.00112015,0.00112015
12,3793.44,1.60646,0.80658,0.99929,0.69402,0.91656,0.78446,0.39279,1.58059,1.52611,1.05602,0.00120971,0.00120971,0.00120971
13,4113.42,1.59615,0.91257,1.04112,0.64285,0.90663,0.89607,0.5352,1.57878,1.07972,1.0615,0.00125923,0.00125923,0.00125923
14,4427.32,1.55477,0.86791,1.03275,0.68801,0.89062,0.88574,0.50929,1.57637,1.3222,1.05975,0.00124509,0.00124509,0.00124509
15,4746.9,1.64308,0.82566,1.05055,0.71874,0.90352,0.78764,0.35034,2.05058,2.04862,1.33948,0.00123094,0.00123094,0.00123094
16,5062.14,1.69211,0.84638,1.08656,0.74062,0.6712,0.69025,0.36039,1.56947,1.15358,1.05947,0.00121679,0.00121679,0.00121679
17,5379.3,1.57932,0.81222,1.03074,0.48497,0.77023,0.47863,0.24419,1.63182,1.32603,1.03956,0.00120265,0.00120265,0.00120265
18,5690.22,1.50292,0.75241,0.99194,0.61274,0.75352,0.70903,0.406,1.47998,0.95163,1.01368,0.0011885,0.0011885,0.0011885
19,5999.28,1.44833,0.69437,0.97147,0.9305,0.94023,0.96621,0.57624,1.45672,0.81383,0.98424,0.00117435,0.00117435,0.00117435
20,6312.27,1.40471,0.71621,0.97715,0.9212,0.88533,0.91604,0.51546,1.45311,0.84628,0.97858,0.00116021,0.00116021,0.00116021
21,6622.68,1.42847,0.7075,0.97639,0.8737,0.87753,0.96179,0.57542,1.30788,0.77552,0.94944,0.00114606,0.00114606,0.00114606
22,6949.19,1.3446,0.64437,0.95599,0.9723,0.92116,0.97191,0.64721,1.27417,0.6676,0.93164,0.00113191,0.00113191,0.00113191
23,7260.93,1.43813,0.64911,0.96601,0.83474,0.91509,0.91424,0.61434,1.24007,0.68076,0.92857,0.00111776,0.00111776,0.00111776
24,7567.52,1.32055,0.61899,0.95887,0.96809,0.96256,0.97387,0.64401,1.23162,0.63669,0.92184,0.00110362,0.00110362,0.00110362
25,7880.17,1.27576,0.60774,0.94976,0.98027,0.96922,0.97409,0.63779,1.22009,0.62131,0.93293,0.00108947,0.00108947,0.00108947
26,8190.64,1.25087,0.58419,0.93601,0.98004,0.97102,0.98237,0.68731,1.09199,0.55676,0.89673,0.00107532,0.00107532,0.00107532
27,8505.82,1.24696,0.58914,0.9727,0.97723,0.97313,0.9819,0.71345,1.11947,0.56701,0.90129,0.00106118,0.00106118,0.00106118
28,8811.56,1.23966,0.57529,0.9338,0.97821,0.97287,0.98263,0.68352,1.21753,0.5858,0.92239,0.00104703,0.00104703,0.00104703
29,9111.25,1.2025,0.57198,0.95801,0.97629,0.96948,0.98284,0.74137,1.06826,0.53793,0.89076,0.00103288,0.00103288,0.00103288
30,9421.64,1.1269,0.54491,0.90517,0.97764,0.95522,0.98452,0.73506,1.01758,0.51367,0.88133,0.00101873,0.00101873,0.00101873
31,9733.81,1.15874,0.54138,0.9224,0.97521,0.96154,0.9825,0.69594,1.09248,0.52533,0.89374,0.00100459,0.00100459,0.00100459
32,10051.8,1.12258,0.53109,0.90269,0.98292,0.96032,0.98469,0.72143,1.10162,0.52565,0.88951,0.00099044,0.00099044,0.00099044
33,10363.5,1.08876,0.52484,0.90121,0.97186,0.97142,0.98586,0.76184,0.99382,0.50223,0.8714,0.000976293,0.000976293,0.000976293
34,10684.1,1.08629,0.52979,0.90126,0.97751,0.97514,0.98707,0.80396,0.90902,0.47096,0.85666,0.000962146,0.000962146,0.000962146
